Hotel_Id,Hotel_Name,Hotel_Address,Hotel_Descriptions,Hotel_City,Hotel_Star,Hotel_Price,Hotel_Rating
6024,Ha Noi Memory Central Hotel And Spa,"92 Đường Trần Nhật Duật, Quận Hoàn Kiếm","Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Ha Noi Memory Central Hotel And Spa cách Ô Quan Chưởng 2 phút đi bộ và Nhà hát múa rối Thăng Long 700 m. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí. Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các căn có tủ quần áo. Các điểm tham quan nổi tiếng gần Ha Noi Memory Central Hotel And Spa bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 23 km.",Hà Nội,4,573329,"7,9"
8101,TK123 Hanoi Hotel,"34 Phố Nam Ngư, Quận Hoàn Kiếm","Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có quầy lễ tân 24 giờ. Khách sạn có phòng gia đình. Tất cả các phòng có bàn làm việc. Phòng nào cũng có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Phòng khách ở TK123 Hanoi Hotel được trang bị TV màn hình phẳng và máy sấy tóc. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Ga Hà Nội, Văn Miếu - Quốc Tử Giám và Nhà thờ Thánh Joseph. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách TK123 Hanoi Hotel 24 km.",Hà Nội,3,515000,"8,5"
6069,Hillary Hanoi Hotel,"70 P. Trương Công Giai, Dịch Vọng, Cầu Giấy","Tọa lạc ở Hà Nội, cách Bảo tàng dân tộc học Việt Nam 18 phút đi bộ, Hillary Hanoi Hotel cung cấp chỗ nghỉ có hồ bơi ngoài trời theo mùa, chỗ đậu xe riêng miễn phí, phòng chờ chung và nhà hàng. Ngoài quầy bar, khách sạn 4 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách. Phòng khách tại khách sạn được trang bị TV màn hình phẳng có truyền hình vệ tinh và két an toàn. Tại Hillary Hanoi Hotel, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm. Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn thực đơn buffet, kiểu lục địa và kiểu Á. Chỗ nghỉ có sân hiên phơi nắng. Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Hillary Hanoi Hotel có dịch vụ thuê xe đạp.",Hà Nội,4,595238,8
8897,Le Jardin Hotel Haute Couture,"105 P. Nguyễn Trường Tộ, Quán Thánh, Ba Đình, Hà Nội 100000, Việt Nam","Le Jardin Hotel Haute Couture có tầm nhìn ra toàn cảnh thành phố Hà Nội và Hồ Hoàn Kiếm. Phòng nghỉ trang nhã tại đây được trang bị WiFi và nước đóng chai miễn phí. Tất cả phòng nghỉ đều được bố trí một loạt tiện nghi hiện đại, bao gồm máy pha trà/cà phê, TV truyền hình vệ tinh và áo choàng tắm. Dịch vụ phòng cũng được cung cấp. Có quầy bar và quán cafe với lựa chọn ăn uống ngoài trời. Du khách có thể thưởng thức đồ uống và đồ ăn nhẹ trong khi đắm mình trong bầu không khí của những con phố đẹp như tranh vẽ ở thành phố Hà Nội. Bàn đặt tour thuận tiện tại Le Jardin Hotel Haute Couture Hanoi có thể cung cấp thông tin về một số điểm tham quan địa phương. Chỗ nghỉ chỉ nằm cách Bảo tàng Hồ Chí Minh, Chùa Một Cột và Đền Bạch Mã 10 phút lái xe.",Hà Nội,4,595238,"8,9"
6311,Sunway Hotel,"19 Phạm Đình Hổ, Hai Bà Trưng, Hà Nội 100000, Việt Nam","Khách sạn có phòng tập thể dục với trang thiết bị tập thể dục và phòng xông hơi ướt. Trung tâm dịch vụ doanh nhân cung cấp các tiện nghi phục vụ doanh nhân và dịch vụ chuyên nghiệp. Nhân viên tại bàn đặt tour và quầy lễ tân 24 giờ sẵn sàng hỗ trợ du khách với dịch vụ giữ hành lý, sắp xếp việc đi lại và đưa đón sân bay. Trung tâm thương mại Tràng Tiền Plaza và Bảo tàng Cách mạng Việt Nam đều nằm trong bán kính 1 km từ Sunway Hotel Hanoi trong khi Nhà Thờ Lớn cách đó 1,7 km. Sân bay quốc tế Nội Bài cách chỗ nghỉ 23 km. Nhà hàng phục vụ các món ăn Việt Nam và quốc tế. Du khách có thể thư giãn với tuyển chọn các loại cocktail và rượu vang trong khi thưởng thức nhạc sống tại quán The Bar.",Hà Nội,4,999999,"8,1"
7640,Gloud Hotel,"26-28 P. Miếu Đầm, Mễ Trì, Nam Từ Liêm, Hà Nội 000084, Việt Nam","Gloud Hotel cung cấp chỗ nghỉ có nhà hàng và Wi-Fi miễn phí cũng như chỗ đậu xe riêng miễn phí cho khách lái xe. Khách sạn 4 sao này có dịch vụ tiền sảnh và bàn bán tour. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách. Khách sạn cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Các phòng có ga trải giường. Chỗ nghỉ cách Bảo tàng dân tộc học Việt Nam 5.5 km và Bảo tàng mỹ thuật Việt Nam 8 km. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Gloud Hotel 27 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",Hà Nội,4,1039503,"8,9"
6377,Paradise Suites Nguyen Khuyen,"1/115 P. Nguyễn Khuyến, Kim Mã, Ba Đình","Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Một số phòng có bếp với tủ lạnh và lò vi sóng. Tại Paradise Suites Nguyen Khuyen, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Văn Miếu - Quốc Tử Giám, Bảo tàng mỹ thuật Việt Nam và Hoàng thành Huế. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Paradise Suites Nguyen Khuyen 24 km.",Hà Nội,4,790875,9
7503,Le Parfum Apartment And Hotel,"22 Ngõ Tức Mặc, Quận Hoàn Kiếm, Hà Nội","Căn hộ có TV màn hình phẳng và phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, máy sấy tóc và vòi xịt/chậu rửa vệ sinh. Một số căn có ban công và/hoặc sân trong nhìn ra thành phố hoặc khu vườn. Chỗ nghỉ này có phòng chờ chung, ngoài ra khách có thể đi xe đạp gần đó. Các điểm tham quan nổi tiếng gần Le Parfum Apartment and Hotel bao gồm Tràng Tiền Plaza, Nhà thờ Thánh Joseph và Hoàng thành Huế. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 25 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",Hà Nội,3,1243431,"9,1"
8169,Classy Boutique Hotel,"21 P. Hàng Cá, Hàng Bồ, Hoàn Kiếm, Hà Nội ","Classy Boutique Hotel với vị trí thuận lợi nằm ngay tại khu vực phố cổ Hà Nội. Với thiết kế vô cùng hiện đại, sang trọng cùng nhiều tiện ích, khách sạn là một trong những khách sạn 4* tại Hà Nội mà quý du khách nên đặt chân tới khi đến với Thủ Đô hơn cả ngàn năm tuổi. Với quy mô chỉ 25 phòng nhưng được trang bị đầy đủ trang thiết bị hiện đại nhất chắc chắn sẽ làm quý khách hài lòng.",Hà Nội,3,,"8,9"
6997,Eliana Signature Hanoi Hotel,"38a Phố Lò Sũ, Lý Thái Tổ, Hoàn Kiếm","Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các điểm tham quan nổi tiếng gần Eliana Signature Hanoi Hotel bao gồm Hồ Hoàn Kiếm, Ô Quan Chưởng và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 24 km.",Hà Nội,4,,"9,3"
