Hotel_Id,Hotel_Name,Hotel_Address,Hotel_City,Hotel_Star,Hotel_Rating,Hotel_Price,Hotel_Descriptions,Hotel_User_Id,Hotel_User_Name,Hotel_User_Rating,Hotel_User_Review_Date,Hotel_User_Review
6024,Ha Noi Memory Central Hotel And Spa,"92 Đường Trần Nhật Duật, Quận Hoàn Kiếm",Hà Nội,4,"7,9",573329,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Ha Noi Memory Central Hotel And Spa cách Ô Quan Chưởng 2 phút đi bộ và Nhà hát múa rối Thăng Long 700 m. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí. Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các căn có tủ quần áo. Các điểm tham quan nổi tiếng gần Ha Noi Memory Central Hotel And Spa bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 23 km.",14760,Hải,9,11/3/2024,"Khách sạn sạch, yên tĩnh, đầy đủ tiện nghi và thích nhất là nhân viên rất thân thiện, nhiệt tình nhất là 2 bạn lễ Tân."
6024,Ha Noi Memory Central Hotel And Spa,"92 Đường Trần Nhật Duật, Quận Hoàn Kiếm",Hà Nội,4,"7,9",573329,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Ha Noi Memory Central Hotel And Spa cách Ô Quan Chưởng 2 phút đi bộ và Nhà hát múa rối Thăng Long 700 m. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí. Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các căn có tủ quần áo. Các điểm tham quan nổi tiếng gần Ha Noi Memory Central Hotel And Spa bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 23 km.",14020,Lan,8,6/2/2024,
6024,Ha Noi Memory Central Hotel And Spa,"92 Đường Trần Nhật Duật, Quận Hoàn Kiếm",Hà Nội,4,"7,9",573329,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Ha Noi Memory Central Hotel And Spa cách Ô Quan Chưởng 2 phút đi bộ và Nhà hát múa rối Thăng Long 700 m. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí. Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các căn có tủ quần áo. Các điểm tham quan nổi tiếng gần Ha Noi Memory Central Hotel And Spa bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 23 km.",14630,Tuyen,8,1/1/2024,"Nhân viên vui vẻ, thân thiện"
6024,Ha Noi Memory Central Hotel And Spa,"92 Đường Trần Nhật Duật, Quận Hoàn Kiếm",Hà Nội,4,"7,9",573329,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Ha Noi Memory Central Hotel And Spa cách Ô Quan Chưởng 2 phút đi bộ và Nhà hát múa rối Thăng Long 700 m. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí. Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các căn có tủ quần áo. Các điểm tham quan nổi tiếng gần Ha Noi Memory Central Hotel And Spa bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 23 km.",14751,Hang,9,17/12/2023,
6024,Ha Noi Memory Central Hotel And Spa,"92 Đường Trần Nhật Duật, Quận Hoàn Kiếm",Hà Nội,4,"7,9",573329,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Ha Noi Memory Central Hotel And Spa cách Ô Quan Chưởng 2 phút đi bộ và Nhà hát múa rối Thăng Long 700 m. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí. Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các căn có tủ quần áo. Các điểm tham quan nổi tiếng gần Ha Noi Memory Central Hotel And Spa bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 23 km.",14579,Phương,9,26/11/2023,Bạn Trang nhân viên lễ tân rất nhiệt tình và hoà đồng. Sẵn sàng hỗ trợ khách hàng khi cần.
8101,TK123 Hanoi Hotel,"34 Phố Nam Ngư, Quận Hoàn Kiếm",Hà Nội,3,"8,5",515000,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có quầy lễ tân 24 giờ. Khách sạn có phòng gia đình. Tất cả các phòng có bàn làm việc. Phòng nào cũng có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Phòng khách ở TK123 Hanoi Hotel được trang bị TV màn hình phẳng và máy sấy tóc. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Ga Hà Nội, Văn Miếu - Quốc Tử Giám và Nhà thờ Thánh Joseph. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách TK123 Hanoi Hotel 24 km.",14436,Sang ,10,26/09/2023,"Sạch, nhân viên thân thiện. Nằm trong phố cổ, thuận tiện cho việc vui chơi. đầy đủ tiện nghi, rộng rãi. nhân viên thân thiện cực kỳ. Rất đáng để ghé lại lần sau!"
8101,TK123 Hanoi Hotel,"34 Phố Nam Ngư, Quận Hoàn Kiếm",Hà Nội,3,"8,5",515000,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có quầy lễ tân 24 giờ. Khách sạn có phòng gia đình. Tất cả các phòng có bàn làm việc. Phòng nào cũng có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Phòng khách ở TK123 Hanoi Hotel được trang bị TV màn hình phẳng và máy sấy tóc. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Ga Hà Nội, Văn Miếu - Quốc Tử Giám và Nhà thờ Thánh Joseph. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách TK123 Hanoi Hotel 24 km.",14008,Nguyễn,9.2,5/12/2022,"Nhà mình nhận phòng khá sớm. 11 h30 đã đến khách sạn. Phòng mình book là Deluxe lại chưa có phòng. Đợi khoảng 10p chị quản lý thấy gia đình có trẻ nhỏ nên đã sắp xếp cho mình ở phòng Suite mà không phải thêm bất kỳ phí. 10 điểm cho sự tinh tế của khách sạn. Phòng thì rộng rãi. Ánh sáng tốt. Mình khá thích không gian ở đây. Bữa sáng free ăn cũng rất ngon miệng. Nhân viên đều nhẹ nhàng. Có điểm trừ ở đây là về phần nhà tắm vẫn còn tóc ở bồn tắm, và tường ẩm bị bong sơn. Nhưng với mình nó chỉ là 1 điểm trừ nhỏ xíu. Đáng để lần sau quay lại."
8101,TK123 Hanoi Hotel,"34 Phố Nam Ngư, Quận Hoàn Kiếm",Hà Nội,3,"8,5",515000,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có quầy lễ tân 24 giờ. Khách sạn có phòng gia đình. Tất cả các phòng có bàn làm việc. Phòng nào cũng có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Phòng khách ở TK123 Hanoi Hotel được trang bị TV màn hình phẳng và máy sấy tóc. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Ga Hà Nội, Văn Miếu - Quốc Tử Giám và Nhà thờ Thánh Joseph. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách TK123 Hanoi Hotel 24 km.",14531,Hằng,9.6,18/10/2023,"Although the bedside table is quite dusty (seems not to have been cleaned), the staff is enthusiastic and the central location is easy to navigate."
8101,TK123 Hanoi Hotel,"34 Phố Nam Ngư, Quận Hoàn Kiếm",Hà Nội,3,"8,5",515000,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có quầy lễ tân 24 giờ. Khách sạn có phòng gia đình. Tất cả các phòng có bàn làm việc. Phòng nào cũng có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Phòng khách ở TK123 Hanoi Hotel được trang bị TV màn hình phẳng và máy sấy tóc. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Ga Hà Nội, Văn Miếu - Quốc Tử Giám và Nhà thờ Thánh Joseph. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách TK123 Hanoi Hotel 24 km.",14116,Thao,8.8,16/11/2023,Hơi ồn vì cách âm phòng. Nhân viên nhà bếp ồn quá.
8101,TK123 Hanoi Hotel,"34 Phố Nam Ngư, Quận Hoàn Kiếm",Hà Nội,3,"8,5",515000,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có quầy lễ tân 24 giờ. Khách sạn có phòng gia đình. Tất cả các phòng có bàn làm việc. Phòng nào cũng có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Phòng khách ở TK123 Hanoi Hotel được trang bị TV màn hình phẳng và máy sấy tóc. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Ga Hà Nội, Văn Miếu - Quốc Tử Giám và Nhà thờ Thánh Joseph. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách TK123 Hanoi Hotel 24 km.",14478,Võ,9.6,6/12/2023,Vị trí gần các điểm du lịch nổi tiếng. Phòng sạch sẽ. Có ăn sáng. Có chút không cách âm vì còn nghe tiếng nước xả.
