Hotel_User_Id,Hotel_Id,Hotel_User_Rating,Hotel_User_Review_Date,Hotel_User_Review
14760,6024,9,11/03/2024,"Khách sạn sạch, yên tĩnh, đầy đủ tiện nghi và thích nhất là nhân viên rất thân thiện, nhiệt tình nhất là 2 bạn lễ Tân."
14760,8101,8,24/04/2024,Hài lòng
14760,6069,8,20/01/2024,Khá hài lòng
14020,8897,8,06/02/2024,Tốt
14020,6311,7,01/02/2024,Good
14020,7640,7,16/04/2024,
14630,7503,8,01/01/2024,"Nhân viên vui vẻ, thân thiện"
14630,8169,8,26/09/2023,Trải nghiệm tốt
14630,6997,8,17/12/2023,Nice
14751,6311,9,17/12/2023,
14751,7640,8,,Tốt
14751,6377,7,,
14579,7355,9,26/11/2023,Bạn Trang nhân viên lễ tân rất nhiệt tình và hoà đồng. Sẵn sàng hỗ trợ khách hàng khi cần.
14579,7015,7,,"Phòng rất đẹp, rộng rãi, sạch sẽ. Không gian ấm cúng và nhân viên cực kỳ nhiệt tình."
14579,7509,6,,
14436,8101,10,26/09/2023,"Sạch, nhân viên thân thiện. Nằm trong phố cổ, thuận tiện cho việc vui chơi. đầy đủ tiện nghi, rộng rãi. nhân viên thân thiện cực kỳ. Rất đáng để ghé lại lần sau!"
14436,9114,9,,
14436,8790,8,,
14008,7509,9,05/12/2022,"Nhà mình nhận phòng khá sớm. 11 h30 đã đến khách sạn. Phòng mình book là Deluxe lại chưa có phòng. Đợi khoảng 10p chị quản lý thấy gia đình có trẻ nhỏ nên đã sắp xếp cho mình ở phòng Suite mà không phải thêm bất kỳ phí. 10 điểm cho sự tinh tế của khách sạn. Phòng thì rộng rãi. Ánh sáng tốt. Mình khá thích không gian ở đây. Bữa sáng free ăn cũng rất ngon miệng. Nhân viên đều nhẹ nhàng. Có điểm trừ ở đây là về phần nhà tắm vẫn còn tóc ở bồn tắm, và tường ẩm bị bong sơn. Nhưng với mình nó chỉ là 1 điểm trừ nhỏ xíu. Đáng để lần sau quay lại."
14008,8959,8,,
14008,6492,7,,
14531,9934,9,18/10/2023,"Although the bedside table is quite dusty (seems not to have been cleaned), the staff is enthusiastic and the central location is easy to navigate."
14531,8053,8,,
14531,8012,9,,
14116,8053,9,16/11/2023,Hơi ồn vì cách âm phòng. Nhân viên nhà bếp ồn quá.
14116,8012,8,,
14116,6108,9,,
14478,8246,9,06/12/2023,Vị trí gần các điểm du lịch nổi tiếng. Phòng sạch sẽ. Có ăn sáng. Có chút không cách âm vì còn nghe tiếng nước xả.
14478,9934,8,,
14478,8053,7,,
14593,6069,9,24/09/2023,Phòng rất sạch sẽ và tiện nghi. Ra Hà Nội mình lại ủng hộ
14593,7355,7,,
14593,7015,7,,
14340,7503,8,01/04/2024,Great Hotel. Breakfast not the best but a good hotel and safe
14340,8169,7,,
14340,6997,6,,
14466,9114,8,31/03/2024,"Big beds, room is clean, simple breakfast, value for money"
14466,8790,8,,
14466,7355,7,,
14215,7509,8,12/12/2023,"Staff are armature, cant expect much from them. Almost seem careless. The hotel are very clean. No weird smell. Good ventilation, quiet. Good place to relax. The pool light off too early tho. If u wanna enjoin a good night light with a drink in the pool then its a no go. The way the pool set up is not good for a day swim. Overall subtract the pool. Great place, staff need more training then just hang around"
14215,8959,8,,
14215,6492,7,,
14163,6377,6,04/05/2021,"The new and clean hotel. But the central air condition has been locked on 27 celsius. I can’t control the temperature, it made me so hot."
14163,7503,8,,
14163,8169,7,,
14688,8897,10,15/09/2023,"Very good service, even the reception so polite in everything.. the best 4 stars hotel i ever stay ! Yayy !!! And give me free extend for 5 hours !!!"
14688,6997,9,,
14688,8057,8,,
14040,9114,8,06/05/2023,"Ban đầu tôi đặt phòng giường đôi 1 người ngủ và có ghi chú là ưu tiên giường đôi lớn, nhưng khi nhận phòng thì phòng lại có 2 giường đơn. Phòng tối và bí. Tôi có gọi điện cho lễ tân và được trả lời là hết phòng đôi và đề xuất tôi upgrade phòng ( trả thêm phí ). Phòng mới rộng hơn nhưng chỉ có view nhưng phòng thiết kế không hợp lý. Ăn sáng là điểm cộng khi có view rất ổn"
14040,8012,9,,
14040,6108,9,,
14055,6069,8,07/02/2024,Check in late around 10pm and because the porter wasn't around got to carry my 3 luggages up the stairs. (Make a slope so that luggage can trolley up) Upgraded my room however the toilet flush button was not functioning well. Overall still a comfortable stay.
14055,8897,8,,
14055,6311,7,,
14568,7640,8,13/01/2024,"The staff was nice and the Hotel was clean, bed was comfy and the breakfast was exceptional. Kind of a weird smell in the hallway and room but not harsh enough to be a dealbreaker. Beautiful reception area."
14568,6377,7,,
14568,7503,7,,
14547,6997,7,28/03/2023,"Khách sạn mới nên khá sạch sẽ , đồ ăn sáng nghèo nàn , nhân viên cần chuyên nghiệp hơn"
14547,8057,8,,
14547,9114,8,,
14831,6311,10,29/07/2023,"Khách sạn sạch sẽ, yên tĩnh, nằm ở vị trí có nhiều quán ăn ngon (theo khẩu vị cá nhân) và nhiều điểm du lịch. Nhân viên dễ thương, nhiệt tình hỗ trợ."
14831,8790,7,,
14831,7355,5,,
14972,7015,8,10/09/2023,"Khách sạn sạch sẽ, nhân viên nhiệt tình, địa điểm gần phố cổ tiện đi lại"
14972,8057,9,,
14972,9114,6,,
14329,8790,8,01/07/2022,"Khách sạn sạch sẽ, vị trí đi lại thuận tiện, đáng giá tiền. Yên tĩnh, có thể đi bộ về phố cổ"
14329,7355,8,,
14329,7015,8,,
14806,7509,7,04/12/2022,"Phòng sạch sẽ, vị trí thuận thiện, nhân viên thân thiện, phù hợp với giá tiền"
14806,8959,7,,
14806,9114,8,,
